% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	1.21893e-13	256.973	0
0.000214285	1	2	0	3.2395e-13	682.947	0
0.000214285	1	3	0	5.19244e-14	109.466	0
0.00121428	1	1	0	1.21899e-13	256.985	0
0.00121428	1	2	0	3.23933e-13	682.911	0
0.00121428	1	3	0	5.19197e-14	109.456	0
0.00221428	1	1	0	1.21904e-13	256.997	0
0.00221428	1	2	0	3.23916e-13	682.874	0
0.00221428	1	3	0	5.1915e-14	109.446	0
0.00321428	1	1	0	1.2191e-13	257.009	0
0.00321428	1	2	0	3.23898e-13	682.838	0
0.00321428	1	3	0	5.19103e-14	109.437	0
0.00421428	1	1	0	1.21916e-13	257.021	0
0.00421428	1	2	0	3.23881e-13	682.801	0
0.00421428	1	3	0	5.19056e-14	109.427	0
0.00521428	1	1	0	1.21921e-13	257.033	0
0.00521428	1	2	0	3.23864e-13	682.765	0
0.00521428	1	3	0	5.19009e-14	109.417	0
0.00621428	1	1	0	1.21927e-13	257.044	0
0.00621428	1	2	0	3.23846e-13	682.728	0
0.00621428	1	3	0	5.18962e-14	109.407	0
0.00721428	1	1	0	1.21932e-13	257.056	0
0.00721428	1	2	0	3.23829e-13	682.691	0
0.00721428	1	3	0	5.18915e-14	109.397	0
0.00821428	1	1	0	1.21938e-13	257.068	0
0.00821428	1	2	0	3.23812e-13	682.655	0
0.00821428	1	3	0	5.18868e-14	109.387	0
0.00921428	1	1	0	1.21944e-13	257.08	0
0.00921428	1	2	0	3.23794e-13	682.618	0
0.00921428	1	3	0	5.18821e-14	109.377	0
0.0102143	1	1	0	1.21949e-13	257.092	0
0.0102143	1	2	0	3.23777e-13	682.582	0
0.0102143	1	3	0	5.18774e-14	109.367	0
0.0112143	1	1	0	1.21955e-13	257.104	0
0.0112143	1	2	0	3.2376e-13	682.545	0
0.0112143	1	3	0	5.18727e-14	109.357	0
0.0122143	1	1	0	1.21961e-13	257.115	0
0.0122143	1	2	0	3.23742e-13	682.509	0
0.0122143	1	3	0	5.1868e-14	109.347	0
0.0132143	1	1	0	1.21966e-13	257.127	0
0.0132143	1	2	0	3.23725e-13	682.472	0
0.0132143	1	3	0	5.18633e-14	109.338	0
