% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	5325.04	0
0.042	1	2	2	5324.02	0
0.043	1	3	3	5323.64	0
0.081	1	1	1	5325.04	0
0.082	1	2	2	5324.02	0
0.083	1	3	3	5323.64	0
0.121	1	1	1	5325.05	0
0.122	1	2	2	5324.02	0
0.123	1	3	3	5323.65	0
0.161	1	1	1	5325.05	0
0.162	1	2	2	5324.02	0
0.163	1	3	3	5323.65	0
0.201	1	1	1	5325.05	0
0.202	1	2	2	5324.02	0
0.203	1	3	3	5323.65	0
0.241	1	1	1	5325.05	0
0.242	1	2	2	5324.02	0
0.243	1	3	3	5323.65	0
0.281	1	1	1	5325.05	0
0.282	1	2	2	5324.02	0
0.283	1	3	3	5323.65	0
0.321	1	1	1	5325.05	0
0.322	1	2	2	5324.02	0
0.323	1	3	3	5323.65	0
0.361	1	1	1	5325.05	0
0.362	1	2	2	5324.02	0
0.363	1	3	3	5323.65	0
0.401	1	1	1	5325.05	0
0.402	1	2	2	5324.02	0
0.403	1	3	3	5323.65	0
0.441	1	1	1	5325.05	0
0.442	1	2	2	5324.02	0
0.443	1	3	3	5323.65	0
0.481	1	1	1	5325.05	0
0.482	1	2	2	5324.02	0
0.483	1	3	3	5323.66	0
0.521	1	1	1	5325.05	0
0.522	1	2	2	5324.02	0
0.523	1	3	3	5323.66	0
0.561	1	1	1	5325.05	0
0.562	1	2	2	5324.01	0
0.563	1	3	3	5323.66	0
0.601	1	1	1	5325.05	0
0.602	1	2	2	5324.01	0
0.603	1	3	3	5323.66	0
0.641	1	1	1	5325.05	0
0.642	1	2	2	5324.01	0
0.643	1	3	3	5323.66	0
0.681	1	1	1	5325.05	0
0.682	1	2	2	5324.01	0
0.683	1	3	3	5323.66	0
0.721	1	1	1	5325.05	0
0.722	1	2	2	5324.01	0
0.723	1	3	3	5323.66	0
0.761	1	1	1	5325.05	0
0.762	1	2	2	5324.01	0
0.763	1	3	3	5323.66	0
